location,company,title,salary,city,company_id,index
 Los Angeles,Idexcel,Big Data Engineer/Architect,Unknown, Los Angeles,138,159
 Los Angeles,Unity Search,AR & AP Analyst (Job #103451),Unknown, Los Angeles,139,160
 Los Angeles,Moneygram,DevOps Engineer,Unknown, Los Angeles,140,161
 Los Angeles,Citi,Apps Dev Senior Programmer Analyst,Unknown, Los Angeles,141,162
 Los Angeles,USAA,"Lead, Risk Analyst - Enterprise Operational Risk - IT",Unknown, Los Angeles,13,163
 Los Angeles,USAA,Sr. Quantitative Risk Analyst - Credit Card Portfolio,Unknown, Los Angeles,13,174
 Los Angeles,USAA,Reporting Analyst I (Enterprise Model Risk Management),Unknown, Los Angeles,13,175
 Los Angeles,CommScope,Sales Analyst,Unknown, Los Angeles,150,176
 Los Angeles,USAA,Quantitative Risk Analyst I - Credit Card Portfolio,Unknown, Los Angeles,13,187
 Los Angeles,USAA,Risk Analyst I - Enterprise Risk & Projects,Unknown, Los Angeles,13,188
 Los Angeles,Newport Medical Solutions,AR Analyst,$18 - $21 an hour, Los Angeles,160,189
 Los Angeles,SHOEBACCA,Application Support Analyst II,"$45,000 - $52,000 a year", Los Angeles,161,190
 Los Angeles,CBRE,Senior Benefits Analyst,Unknown, Los Angeles,116,201
 Los Angeles,"SUNSET LOGISTICS, INC",Data/Financial Analyst,"$60,000 - $75,000 a year", Los Angeles,151,222
 Los Angeles,Bloomfield Homes,Accounting/Data programming Associate,$13 - $25 an hour, Los Angeles,189,223
 Los Angeles,Citi,Client Service Sr. Analyst,Unknown, Los Angeles,141,242
 Los Angeles,Public Health Institute,Data Analyst (Time-Limited),Unknown, Los Angeles,204,243
 Los Angeles,Topcon Positioning Systems,Senior Business Analyst (Bilingual English and Japanese),Unknown, Los Angeles,205,244
 Los Angeles,First Republic Bank,SOX BP Senior Analyst,Unknown, Los Angeles,206,245
 Los Angeles,SELLBYTEL,"Sr. Business Intelligence Analyst, Google Cloud",Unknown, Los Angeles,215,256
 Los Angeles,UpNest,Product Analyst (Power BI),"$78,000 - $85,000 a year", Los Angeles,216,257
"Oakland, CA",LaunchDarkly,Data Analyst,Unknown,Oakland,217,258
 Los Angeles,"delta computer solutions, inc. www.deltacs.com",Systems Analyst - Behavioral Health (myAvatar),$45 - $65 an hour, Los Angeles,226,268
 Los Angeles,Any QA,Software Development Engineer in Test (SDET) - Data Quality,"$115,000 - $135,000 a year", Los Angeles,227,269
 Los Angeles,"Association For Energy Affordability, Inc.",Energy Analyst,Unknown, Los Angeles,232,275
 Los Angeles,"delta computer solutions, inc. www.deltacs.com",Epic Analyst - Whole Person Care,$40 - $70 an hour, Los Angeles,226,276
 Los Angeles,GPS CAPITAL MANAGEMENT,Office Manager / Research Analyst,"$50,000 a year", Los Angeles,241,287
 Los Angeles,Entelligence IT,Sr. Business Analyst - VMware,"$125,000 a year", Los Angeles,250,298
 Los Angeles,Idemitsu Renewables,Project Finance Analyst,Unknown, Los Angeles,251,299
"Oakland, CA",Sutter Health,Enrollment & Student Services Data & Systems Operations Analyst,Unknown,Oakland,262,311
"Oakland, CA 94607 (Acorn-Acorn Industrial area)",University of California Office of the President,ITS Data Services Intern (4920),$20 an hour,Oakland,263,313
 Los Angeles,MUFG,Project Regulatory/Risk Data Analyst,Unknown, Los Angeles,274,325
 Los Angeles,MUFG,Sr Data Analyst,Unknown, Los Angeles,274,326
 Los Angeles,MUFG,Data Analyst,Unknown, Los Angeles,274,337
 Los Angeles,"Daman, Inc.",Data Engineer,"$100,000 - $130,000 a year", Los Angeles,285,338
 Los Angeles,USAA,Quantitative Risk Analyst - Advanced Level,Unknown, Los Angeles,13,349
 Los Angeles,Sonoran Plumbing Supply,Pricing Analyst,"$30,508 - $50,518 a year", Los Angeles,295,350
 Los Angeles,USAA,Business Support Analyst Senior - QA Oversight,Unknown, Los Angeles,13,371
 Los Angeles,"IT Partners,Inc",Data Scientist,Unknown, Los Angeles,337,412
 Los Angeles,Lakefield Veterinary Group,Pricing Analyst,$20 - $25 an hour, Los Angeles,338,413
 Los Angeles,American Capital Group,Investment Analyst,"$80,000 - $85,000 a year", Los Angeles,339,414
 Los Angeles,"CAF, INC.",Sales Operations Analyst,Unknown, Los Angeles,340,415
"Redmond, WA",Rational,Data Analyst,Unknown,Redmond,341,417
"Redmond, WA",Microsoft,Data Analyst,Unknown,Redmond,348,424
 Los Angeles,"SRSM, Inc.",Business Systems Analyst/End User Support,Unknown, Los Angeles,350,426
 Los Angeles,Bristol-Myers Squibb,"Logistics Analyst, Global Cell Therapy",Unknown, Los Angeles,351,427
 Los Angeles,Costco Wholesale,Treasury Systems Analyst,Unknown, Los Angeles,352,428
"Redmond, WA 98052 (Overlake area)",Nayamode,Power BI/data Analyst,Unknown,Redmond,358,435
"Redmond, WA",Microsoft,Full Time Opportunities for PhD Students or Recent Graduates: Data & Applied Sciences,Unknown,Redmond,348,438
