,Global Fishing Watch,Data Scientist,
,Blue Owl,Data Scientist,
,Specific Diagnostics,"Data Scientist, Medical Diagnostics",
,Intuit,Senior Data Scientist,4.2
,BICP,"Data Engineer, Machine Learning",5.0
,PayPal,Decision Scientist 3,3.9
"San Francisco, CA 94143 (Haight-Ashbury area)",University of California San Francisco,Data Scientist,4.2
"San Francisco, CA",Blue Owl,Data Scientist,
"San Francisco, CA",Stitch Fix,Data Scientist - Shop Recommendations,3.3
"San Francisco, CA",Avila Trading,Data scientist,
"San Francisco, CA 94103 (South of Market area)",Uber,"Data Scientist, Legal Policy & Economics",3.8
"Oakland, CA",Global Fishing Watch,Data Scientist,
"San Francisco, CA",Wish,"Data Scientist, Merchandising Strategy",3.8
"San Francisco, CA",0x,Data Scientist,
"San Francisco, CA",Beatdapp,Data Scientist (Top 20 Music Company Globally on Crunchbase),
"San Francisco, CA",Facebook,"Data Scientist, Analytics - Instagram Business Ecosystem",4.2
,Intuit,Staff Data Scientist,4.2
,BICP,Senior Data Scientist,5.0
,Lockheed Martin,Data Scientist / Machine Learning / DL / AI,4.0
"Brooklyn, NY 11201",Etsy,Data Scientist,4.4
"Manhattan, NY",VISITING NURSE SERVICE OF NEW YORK,Data Scientist Intern,3.6
"Brooklyn, NY 11201",Etsy,"Data Scientist, Analytics",4.4
"New York, NY",Source Enterprises,Data Scientist,4.3
"New York, NY 10013 (Tribeca area)",1-800-Flowers,Junior Data Scientist,3.7
"New York, NY",Hawkfish,"Data Scientist, Voter Data",
"New York, NY 10012 (Greenwich Village area)",New York University,Programmer/Data Scientist (Researcher),4.2
"New York, NY",Concerto HealthAI,Clinical UAT Data Scientist,
"New York, NY",Alldus,Data Scientist,
"New York, NY 10011 (Flatiron District area)",Bowery Farming,"Data Scientist, Analytics",4.2
"Albany, NY 12208 (Whitehall area)","Research Foundation for Mental Hygiene, Inc.",Data Scientist,
"New York, NY",Altversity,Data Science & Machine Learning Research Intern,
"New York, NY 10003 (Flatiron District area)",Casper,Data Scientist,4.2
"New York, NY 10119 (Chelsea area)",Biz2Credit Inc,Data Scientist,
,Hughston Clinic,Senior Data Analyst,3.5
,Enhance IT,Jr. Machine Learning Engineers,4.0
"Atlanta, GA",UNITED PARCEL SERVICE,Marketing Data Scientist,3.8
"Atlanta, GA",Pearson,Data Scientist,3.8
"Atlanta, GA",UCB S.A.,HEOR / RWE Data Scientist,3.8
"Alpharetta, GA",Quest America,Data Scientist,
"Atlanta, GA",ThreeBridge Solutions,Data Scientist,4.3
"Atlanta, GA",The Home Depot,Associate Data Scientist,3.8
"Atlanta, GA 30301 (Buckhead area)",Cox Automotive,Senior Data Scientist,3.5
"Atlanta, GA 30318",Harmony,Data Scientist,
"Atlanta, GA",Opendoor,Senior Data Scientist - Homes,3.0
"Atlanta, GA 30349",Thrivent Financial,Data Scientist (remote),3.9
,Perspecta Labs,Machine Learning Research Scientist,4.0
,Biz2Credit Inc,Manager - Data Science,
,IT,ML Engineer (Machine Learning /AWS ML),
,Bloomberg,Data Science Solutions Architect,3.9
,"Perceptronics Solutions, Inc",AI/Machine Learning Research Scientist,
,Liberty Information,Lead Software Engineer NLP,
,JFC Global,Sr. Data Analyst,3.8
"Philadelphia, PA 19019 (Somerton area)",Thermo Fisher Scientific,Data Scientist,3.5
"Philadelphia, PA 19146 (Graduate Hospital area)",Children's Hospital of Philadelphia,Imaging Data Scientist I,4.0
"Camden, NJ 08103 (Central Waterfront area)",United States Cold Storage,Jr. Data Scientist,3.5
"Harrisburg, PA",Pearson,Data Scientist,3.8
"Brooklyn, NY 11201",Etsy,Data Scientist,4.4
"Philadelphia, PA",Dotcom Team LLC,Data Scientist,
"New York, NY",Source Enterprises,Data Scientist,4.3
"Brooklyn, NY 11201",Etsy,"Data Scientist, Analytics",4.4
"Philadelphia, PA 19130 (Logan Square area)",Clarivate Analytics,Data Scientist,3.4
"Philadelphia, PA",Invent Analytics,Junior Data Scientist,
,Eisai,"Medical Data Scientist - Clinical Safety Data Review, Oncology",3.8
,Eastern Airlines LLC,Business Analyst - Data and Analytics,
,"YinzCam, Inc.",Senior Data Analyst,4.0
