location,company,title,salary,city,index
Remote,National Geospatial-Intelligence Agency,Data Scientist (Mid-Level),"$64,948 - $133,465 a year",Remote,75
Remote,Aegis Premier Technologies,Data Scientist / Predictive Analytics Professional,Unknown,Remote,76
Remote,Intuit,Senior Data Scientist,Unknown,Remote,77
Remote,"ENSCO, Inc.",Data Scientist,Unknown,Remote,78
Remote,Johns Hopkins Applied Physics Laboratory (APL),Data Scientist,Unknown,Remote,79
Remote,Blackwatch International Corporation,Data Scientist,Unknown,Remote,80
Remote,GEICO,Senior Data Scientist,Unknown,Remote,81
Remote,Perspecta Labs,Machine Learning Research Scientist,Unknown,Remote,82
"Oakland, CA",Global Fishing Watch,Data Scientist,$45 - $65 an hour,Oakland,83
"Redmond, WA",Microsoft,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,Unknown,Redmond,84
"Denver, CO 80202 (Union Station area)",McKinsey & Company,"Data Scientist, Agriculture and Commodities",Unknown,Denver,85
"Washington, DC 20006 (Downtown area)",FARMER MAC,Data Scientist,Unknown,Washington,86
Remote,GeneDx,Senior Genomic Data Scientist,Unknown,Remote,87
Remote,Northrop Grumman,Sr. Principal Data Scientist,Unknown,Remote,88
Remote,Humana,Lead Data Scientist,Unknown,Remote,89
Remote,PayPal,Data Scientist,Unknown,Remote,90
