location,company,title,salary,city,company_id,index
 Los Angeles,"Curative Inc,",Sr. Data Scientist,Unknown, Los Angeles,62,65
 Los Angeles,Lyteworx Automation Systems,Data Scientist,"$160,000 - $175,000 a year", Los Angeles,63,66
 Los Angeles,HP,Data Scientist (Sales and Marketing),Unknown, Los Angeles,64,67
 Los Angeles,Intuit,Staff Data Scientist,Unknown, Los Angeles,65,68
 Los Angeles,Specific Diagnostics,"Data Scientist, Medical Diagnostics",Unknown, Los Angeles,66,69
 Los Angeles,Intuit,Staff Data Scientist - Analytics,Unknown, Los Angeles,65,70
"Alvin, TX","RiceTec, Inc.",Data Scientist - Production Research,Unknown,Alvin,67,71
 Los Angeles,Northrop Grumman,Data Scientist,Unknown, Los Angeles,68,72
 Los Angeles,"Skafos, LLC",Machine Learning Engineer,Unknown, Los Angeles,69,73
 Los Angeles,SullivanCotter,Data Scientist Architect,Unknown, Los Angeles,70,74
 Los Angeles,National Geospatial-Intelligence Agency,Data Scientist (Mid-Level),"$64,948 - $133,465 a year", Los Angeles,71,75
 Los Angeles,Aegis Premier Technologies,Data Scientist / Predictive Analytics Professional,Unknown, Los Angeles,72,76
 Los Angeles,Intuit,Senior Data Scientist,Unknown, Los Angeles,65,77
 Los Angeles,"ENSCO, Inc.",Data Scientist,Unknown, Los Angeles,73,78
 Los Angeles,Johns Hopkins Applied Physics Laboratory (APL),Data Scientist,Unknown, Los Angeles,74,79
 Los Angeles,Blackwatch International Corporation,Data Scientist,Unknown, Los Angeles,75,80
 Los Angeles,GEICO,Senior Data Scientist,Unknown, Los Angeles,76,81
 Los Angeles,Perspecta Labs,Machine Learning Research Scientist,Unknown, Los Angeles,77,82
"Oakland, CA",Global Fishing Watch,Data Scientist,$45 - $65 an hour,Oakland,51,83
"Redmond, WA",Microsoft,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,Unknown,Redmond,78,84
"Denver, CO 80202 (Union Station area)",McKinsey & Company,"Data Scientist, Agriculture and Commodities",Unknown,Denver,79,85
"Washington, DC 20006 (Downtown area)",FARMER MAC,Data Scientist,Unknown,Washington,80,86
 Los Angeles,GeneDx,Senior Genomic Data Scientist,Unknown, Los Angeles,81,87
 Los Angeles,Northrop Grumman,Sr. Principal Data Scientist,Unknown, Los Angeles,68,88
 Los Angeles,Humana,Lead Data Scientist,Unknown, Los Angeles,82,89
 Los Angeles,PayPal,Data Scientist,Unknown, Los Angeles,83,90
