"Honolulu, HI",Wai‘alae Dental Care & Dental Care of Pearlridge,Dental Front Desk Receptionist,From $15 an hour,
"Honolulu, HI 96819 (Airport area)",LOCKHEED MARTIN CORPORATION,Security Assistant,,4.0
,"Yamamoto Caliboso, LLLC",Real Estate Attorney,"$100,000 - $250,000 a year",
,Ala Moana Dental Care,3 DAYS ON/4 DAYS OFF FT Dental Treatment Coordinator,$13 - $18 an hour,
,U.S. Customs and Border Protection,Border Patrol Agent,,4.1
"Honolulu, HI 96822 (Manoa area)",Research Corporation of the University of Hawaii,ADMINISTRATIVE/HUMAN RESOURCES SUPPORT ASSISTANT – ID# 220297.,$19.62 an hour,4.2
"Tripler Army Medical Center, HI",Indian Health Service,Medical Support Assistant,"$36,003 - $46,807 a year",3.9
"Honolulu, HI",Hawaiʻi State Department of Education,"School Administrative Services Assistant I, II, III, IV","$2,945 a month",
"Honolulu, HI 96819 (Airport area)",UNITED PARCEL SERVICE,Warehouse Worker - Package Handler,,3.8
"Fort Shafter, HI",Indian Health Service,Recreation Aid NF,$10 an hour,3.9
"Honolulu, HI",Punahou,Assistant Teacher - Academy,,
"Honolulu, HI 96814",PetSmart,Early Morning Stocker,,3.5
"Honolulu, HI 96822 (Manoa area)",Mid-Pacific Institute,High School Administrative Assistant to the Assistant Principals,,4.3
"Honolulu, HI",Lanikai Juice,Crew Member or Supervisor,,3.0
"Honolulu, HI 96819 (Kalihi-Palama area)",First Hawaiian Bank,Call Center Agent,$16 an hour,4.2
,"DTRIC Insurance Company, Limited",Compliance and Risk Management Officer,"$80,000 - $115,000 a year",3.6
,Lanikai Juice,Crew Member or Supervisor,,3.0
,Kalakaua Gardens,SCHEDULER / CENTRAL SUPPLY CLERK,$16 - $19 an hour,3.0
,U.S. Customs and Border Protection,Border Patrol Agent,,4.1
,Tardus Wealth Strategies,Personal Finance Coach,$25 - $125 an hour,
,Sharetea Hawaii,Barista and Cashier,$11 - $13 an hour,
,Ala Moana Dental Care,3 DAYS ON/4 DAYS OFF FT Dental Treatment Coordinator,$13 - $18 an hour,
"Honolulu, HI 96826 (McCully-Moiliili area)",Hawaiian Humane Society,Volunteer Services Coordinator,,3.8
"Honolulu, HI 96814 (Ala Moana-Kakaako area)",Sam's Club,Member Support,,3.6
"Honolulu, HI 96850 (Downtown area)",US Department of Justice,Legal Assistant (Office Automation),"$49,182 - $63,932 a year",4.1
"Honolulu, HI 96813 (Ala Moana-Kakaako area)",Aloha Aina,Barista (part-time),,
"Honolulu, HI 96813",Hitachi Rail STS,STATION OPERATOR,,
"Honolulu, HI 96819 (Airport area)",SAIC,Purchasing Assistant,,4.0
"Honolulu, HI 96812 (Downtown area)",Hawaiian Dredging Construction Company Inc,HEAVY EQUIPMENT APPRENTICE,,
"Honolulu, HI 96815 (Waikiki area)",Pacific Instruments,Part Time Medical Device Shipping and Packaging Operator,$15 - $20 an hour,
