location,company,title,salary
"Burbank, CA",Kaiser Permanente,"Data Scientist, Digital Marketing Analytics",
"Santa Monica, CA",Hyundai-Aptiv Autonomous Driving Joint Venture,Machine Learning Research Scientist - Winter 2019 Grad (Masters/PhD),
"Los Angeles, CA",Acumen LLC,Data and Policy Analyst - Statistical Programmer,
"Los Angeles, CA 90025 (Sawtelle area)",Mylife,Sr. Data Analyst,
"Northridge, CA",Areté,"Scientist 2, Data Analytics",
"San Diego, CA 92130 (Carmel Valley area)",ICW Group,Data Scientist,
"Los Angeles, CA 90067 (Century City area)",Honey,Data Scientist - Product,
"Santa Barbara, CA",HG Insights,Data Scientist,
"Burbank, CA",Warner Bros. Entertainment Group,Sr. Data Scientist,
"Los Angeles, CA",D Cube Analytics,Data Scientist,
"Los Angeles, CA",Signal Sciences,Data Analyst,
,UnionBank,"Data Scientist, Assistant Vice President",
"Costa Mesa, CA 92626",Veritone,Sr Data Scientist,
"Whittier, CA 90606","Allscripts Healthcare, LLC",MS Data Scientist,
"Claremont, CA 91711 (Towne Ranch area)",ReleasePoint,Medical Data Analyst,"$45,000 - $80,000 a year"
"Los Angeles, CA 90079",Steady,Senior Data Scientist,
"Venice, CA",System1,"Sr. Data Analyst, Consumer Applications",
"Los Angeles, CA",RAND Corporation,Data Scientist Research Programmer,
"Los Angeles, CA 90069",The Trevor Project,Machine Learning Engineer,
"Los Angeles, CA",TutorMe,Senior Data Analyst,
"Playa Vista, CA",Steady Platform,Senior Data Analyst,
"San Diego, CA 92130 (Carmel Valley area)",Realty Income Corporation,Data Scientist,
,California FAIR Plan Association,Statistical Analyst,
"Los Angeles, CA",IPG360,Valuation & Analytics Intern,
"Newport Beach, CA",FrescoData,Senior Data Analysts,
"Redlands, CA 92373","ESRI, Inc.",Data Scientist,
"Los Angeles, CA",Zeevo Group,Dashboard & Analytics Internship,
"Burbank, CA",Shapestone Inc.,Sr. Data Analyst,"$120,000 a year"
"Culver City, CA",TikTok,Senior Data Analyst,
"El Segundo, CA 90245",AT&T,"Principal, Predictive Analytics & Data Science",
"Culver City, CA",Jam City,Senior Data Scientist,
"Los Angeles, CA 90232 (Palms area)",TikTok,Senior Data Scientist,
"Santa Monica, CA","Operating Company ACTIVISION PUBLISHING, INC",Principal Data Scientist,
"Los Angeles, CA 90036 (Mid City area)",Fox Corporation,Senior Data Analyst,
"Palmdale, CA 93550",Northrop Grumman,Principal Data Scientist,
"Los Angeles, CA",Internet Brands,Data Analyst,
"Los Angeles, CA 90230 (Westchester area)",Hyperloop Transportation Technologies,Contributor | Data Engineer / Data Scientist,
"Irvine, CA",UnionBank,"Data Scientist, Assistant Vice President",
"Orange County, CA",ITTIA,Data Science Development Support,
"Burbank, CA",Screen Actors Guild- Producers Pension & Health Pl...,Sr. Data Analyst,
"El Segundo, CA 90245",The Aerospace Corporation,Data Scientist,
"Irwindale, CA",City of Hope,Senior Data Scientist,
"Los Angeles, CA",Pro Lancer,Machine Learning Engineer,"$70,000 - $95,000 a year"
"Orange, CA",Savantis Solutions LLC,"Sr. Data Analyst-Orange County, CA",
"Burbank, CA 91505 (Media area)",Capgemini,Data Scientist Consultant - Burbank California,
"Los Angeles, CA",Tinuiti - 2,"Intern, Marketplace Analytics",
"Costa Mesa, CA",VF Corporation,"Vans Associate Data Scientist, Consumer Lifecycle Management",
"Glendale, CA",Amazon.com Services LLC,Applied Scientist II - AMZ3410,
"San Diego, CA 92121 (Sorrento Valley area)","Samsung Semiconductor, Inc.",Deep Learning Research Scientist / Engineer (Deep Learning & Algorithms),
"Costa Mesa, CA 92626",Vans,"Vans Associate Data Scientist, Consumer Lifecycle Management",
"Santa Monica, CA",PlayQ,Senior Data Analyst,
"Carlsbad, CA",Rockstar Games,"Senior Data Scientist, Game Analytics",
"Irvine, CA 92614 (Business District area)",Sunwest Bank,Analyst- Summer Internship,
,ArchieMD,"Senior Artificial Intelligence, Machine Learning Software Engineer",
"Atlanta, GA 30303 (Five Points area)",Pinnacle Solutions Inc,Data Scientist – Modeler,
"Atlanta, GA",The Home Depot,Associate Data Scientist,
"Atlanta, GA",ThreeBridge Solutions,Data Scientist,
"Atlanta, GA",UCB S.A.,HEOR / RWE Data Scientist,
"Atlanta, GA 30301 (Buckhead area)",Cox Automotive,Senior Data Scientist,
"Alpharetta, GA",Quest America,Data Scientist,$65 - $70 an hour
"Atlanta, GA",Thrivent,Data Scientist (remote),
"Atlanta, GA",Opendoor,Senior Data Scientist - Homes,
"Atlanta, GA 30349",Thrivent Financial,Data Scientist (remote),
"Atlanta, GA",The Home Depot,"Data Scientist, Operations Fulfillment- Process Analytics",
,KARNA,Statistical Programmer II,
"Atlanta, GA 30301 (Buckhead area)","Reddaiah, Inc",Data Scientist / Data Base Analyst,$40 - $50 an hour
"Atlanta, GA 30309 (Midtown area)",Steady,Senior Data Analyst,
"Atlanta, GA",The Home Depot,"Data Scientist, Pricing",
"Atlanta, GA",Enhance IT,Jr. Machine Learning Engineers,$35 - $40 an hour
"Atlanta, GA",The Home Depot,Data Scientist - Supply Chain,
"Atlanta, GA",NCR,Machine Learning Engineer,
"Atlanta, GA 30339",Informa,Senior Data Analyst,
"Atlanta, GA 30301 (Buckhead area)","Rollins, Inc.",Financial Analyst Intern,
"Atlanta, GA",Manhattan Associates,Data Scientist,
"Atlanta, GA",Gallup,Principal Data Scientist,
"Atlanta, GA",Microsoft,Senior Data & Applied Scientist,
"Atlanta, GA 30308 (Midtown area)",Honeywell,Lead Data Scientist,
"Atlanta, GA 30309 (Midtown area)",Guidehouse,"Data Scientist, Consultant",
"Suwanee, GA 30024",Macy's,Lead Data Scientist,
"Atlanta, GA 30309 (Midtown area)",Steady,Senior Data Scientist,
"Alpharetta, GA",RELX Group,Senior Data Scientist,
"Alpharetta, GA",Brielle Technologies,Data Scientists – Machine Learning,$60 - $70 an hour
"Alpharetta, GA",RELX Group,Statistical Data Analyst,
"Atlanta, GA 30301 (Buckhead area)","RELI Group, Inc.",Senior Data Analyst,
"Atlanta, GA",Porsche Financial Services Inc.,"Senior Analyst, Data Science & Analytics",
"Atlanta, GA",Healthgrades,Senior Claims Data Analyst,
"Atlanta, GA 30350",Mather Economics,"Associate Consultant, Data Science",
"Atlanta, GA",North Highland,Business Architect - Data Engineering,
"Atlanta, GA 30341",ASRT Inc.,Statistician,
"Atlanta, GA 30308 (Downtown area)",SunTrust,Statistical Quantitative Analyst-Risk Models (Multiple Openings),
"Atlanta, GA 30303 (Downtown area)",Deloitte,Sales Executive - Data in Motion,
"Atlanta, GA",Myers and Stauffer LC,Senior Data Analyst,
"Atlanta, GA",The Home Depot,SENIOR DATA ANALYST - LAST MILE OPTIMIZATION,
"Columbus, GA 31906",Aflac,Sr Data Science Analyst,
"Atlanta, GA 30309 (Midtown area)",RSM US LLP,2021 - Summer - Consulting Intern - Technology - Data Analytics - Business Intelligence,
"Atlanta, GA",The Home Depot,Senior Data Analyst - Transportation Analytics,
"Atlanta, GA 30329",ICF,Public Health Statistician,
"Columbus, GA 31909",Hughston Clinic,Senior Data Analyst,
"Atlanta, GA 30301 (Buckhead area)",KATMAI,Natural Language Processing (NLP) Subject Matter Expert,
"Atlanta, GA","Oncology Analytics, Inc.",Natural Language Processing (NLP) Senior Machine Learning Engineer,
"Atlanta, GA",The Home Depot,Senior Data Analyst - Supply Chain Delivery Speed To Customer,
"Johns Creek, GA 30097",Life Time,Ultimate Hoops Statistician,
"Atlanta, GA 30308 (Downtown area)",SunTrust,Quantitative Analyst,
"Atlanta, GA 30309 (Midtown area)",ArchieMD,"Senior Artificial Intelligence, Machine Learning Software Engineer",
"Dalton, GA",Tarkett,Intern/CoOp - Business Analyst,
"Atlanta, GA 30339",Alight,Digital – Hyper-personalization Data Science Director,
"Atlanta, GA",PowerTeamServices,Supply Chain Analyst Intern,
"Atlanta, GA",The Home Depot,"Sr. Data Analyst - Assurance, Advisory Management Program",
"Duluth, GA 30096",AGCO,Lead Data Scientist (Cloud) Job,
"Atlanta, GA",The Home Depot,"Senior Data Analyst, Supply Chain Development",
"Atlanta, GA",Change Healthcare,"Senior Counsel, Artificial Intelligence",
"Atlanta, GA 30318 (Georgia Tech area)",Georgia Tech Research Institute,"Computer Science Researcher in Data Science, Machine Learning, and High Performance Computing - ICL",
"Atlanta, GA 30329","IHRC, Inc.",Statistician I,
"Alpharetta, GA 30022",Nam Technologies,Senior Data Analyst,
"Atlanta, GA","DecisionIQ, Inc.",Data Scientist for AI Platform,"$80,000 - $140,000 a year"
"Atlanta, GA",The Home Depot,Senior Data Analyst - Supply Chain Analytics,
"Atlanta, GA 30303 (Downtown area)",Deloitte,Sales Executive – Artificial Intelligence Managed Services,
"Atlanta, GA",The Home Depot,SENIOR DATA ANALYST - DELIVERY OPTIMIZATION,
"Atlanta, GA 30326 (North Buckhead area)","Amazon Web Services, Inc.","Specialist SA, Machine Learning/AI Services",
"Smyrna, GA",Georgia Tech Research Institute,Machine Learning Engineer - SEAL,
"Atlanta, GA",Xen.ai,Head of Business Development & Sales - AI & Machine Learning Solutions,
"Atlanta, GA",OnScale,AI and Machine Learning Engineer,"$70,000 - $100,000 a year"
"Atlanta, GA",The Home Depot,Principal Engineer - Data Science,
"Atlanta, GA 30303 (Downtown area)",Deloitte,Sales Executive - Conversational AI – Artificial Intelligence Insights & Engagement,
"Atlanta, GA 30308 (Midtown area)",Keysight Technologies,Machine Learning Analytics Researcher,
,USAA,Director Data Scientist - Data Science Hub,
"Dallas, TX",Cloudbigdata Technologies,Entry level Data Scientist,
"Dallas, TX 75201 (City Center District area)",BrightPoint Solutions,Data Scientist,"$75,406 - $158,767 a year"
"Dallas, TX 75390 (Near East area)",UT Southwestern Medical Center,Data Scientist,"$50,000 - $95,000 a year"
"Farmers Branch, TX 75234",Brinks Home Security™,Data Scientist,"$90,000 - $98,000 a year"
"Fort Worth, TX 76101 (Downtown area)",Thrivent Financial,Data Scientist (remote),
"Plano, TX 75023",Toyota,Data Science Analyst,
"Fort Worth, TX",Thrivent,Data Scientist (remote),
"Plano, TX 75025",Alagar,Data Scientist,
"Farmers Branch, TX 75234",Brinks Home Security,Data Scientist,
"Richardson, TX 75080",Lennox International,Data Scientist I,
"Dallas, TX","Onica, a Rackspace Company",Data Scientist,
"Richardson, TX 75082",RealPage,Data Scientist III,
"Dallas, TX",GTA,Performance Assurance Engineer (Data Science Background),"$103,000 - $123,000 a year"
"Dallas, TX",Pro Lancer,Data Scientist,"$50,000 - $75,000 a year"
"Dallas, TX 75201 (Main Street District area)",Vinli,Data Scientist / Statistician,
"Irving, TX 75038 (Cottonwood area)",HMS,Data Scientist,
"Dallas, TX 75254 (Far North area)",Copart,Product Analyst Intern - SDS,
"Dallas, TX",Plasma Computing Group,Data Scientist Machine Learning Engineer,
"Fort Worth, TX 76104 (Southside area)",JPS Health Network,Data Scientist - Quality,
"Dallas, TX 75202 (City Center District area)",IBM,Quantum Data Scientist- Industrial Discrete Sector Industry,
"Dallas, TX 75202 (City Center District area)",IBM,Quantum Data Scientist- Industrial Process Sector Industry,
"Irving, TX 75039",Peoplevisor LLC,Data Scientist,
"Dallas, TX 75251 (North Dallas area)",Ziosk,Machine Learning Engineer (Contract),
"Fort Worth, TX 76108",BAE Systems,Data Scientist,
"Allen, TX 75013",Frontier Communications,Sr. Data Scientist,
"Dallas, TX",DJO Global,Sr. Enterprise BI Data Analyst,
"Irving, TX 75039 (Freeport/Hackberry area)",NTT DATA Services,Machine Learning Engineer,$58 an hour
"Plano, TX",Capital One - US,"Sr. Associate, Data Science",
"Arlington, TX",eGlobalTech,Data Scientist,
"Arlington, TX 76014 (East area)",GM Financial,Lead Data Scientist - Machine Learning,
,Humana,"Associate Director, Data Science",
"Dallas, TX 75240 (Far North area)","Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,
"Irving, TX 75063 (Freeport/Hackberry area)",Humana,Lead Data Scientist,
"Irving, TX",NTT DATA Services,Machine Learning,$42 - $52 an hour
"Dallas, TX",132 ENG Inc.,Machine Learning Engineer / Data Analyst,
"Dallas, TX",Microagility,Data Science Analyst,
"Dallas, TX (Wolf Creek area)",Mobilityware,Senior Data Analyst,
"Dallas, TX 75201 (Oak Lawn area)",Goldman Sachs,Data Science – Analyst/Associate - Security Incident Response Team,
"Dallas, TX 75202 (City Center District area)",IBM,Quantum Principal Data Scientist- Industrial Process Sector Industry,
"Plano, TX 75023",Liberty Mutual Insurance,"Assistant Director, Data Science","$119,000 - $155,000 a year"
"Dallas, TX",Infosys Limited,Principal Data Scientist,
"Irving, TX",OneMain Financial,"Senior Data Analyst, Internal Audit",
"Dallas, TX 75251 (North Dallas area)","DeWolff, Boberg & Associates",HR Research Analyst Intern (UNPAID - Part-time),
"Frisco, TX 75034",Evolve Mortgage Services,Senior Data Analyst,
"Coppell, TX 75019",DTCC,Risk Data Science - Associate Director,
"Arlington, TX 76001 (Southwest area)",Thompson Gray Inc.,RPA Analyst_MM_NOVA_AI,
"Plano, TX 75024",Toyota Connected,Senior Machine Learning Engineer,
"Richardson, TX 75082",Texas Capital Bank,Data Science Analyst - Financial Crimes Compliance,
"Denton, TX 76210",Sally Holdings LLC,Director Data Science,
"Irving, TX",Photon,"Developer - ML Engineer | Irving, TX",
"Dallas, TX 75201 (City Center District area)",Deloitte,Sales Executive – Artificial Intelligence Managed Services,
"Dallas, TX","Center for Autism and Behavioral Disorders, LLC",Board Certified Behavior Analyst INTERNSHIP,
"Dallas, TX","Onica, a Rackspace Company",Data Science Architect,
"Irving, TX 75063",Twenty20 Solutions,AI / Machine Learning Engineer,
"Dallas, TX 75240 (Far North area)","Amazon Web Services, Inc.",AI/ ML Consultant,
"Dallas, TX 75201 (City Center District area)",Omnitracs,AI ML Engineer,
"Plano, TX",Hewlett Packard Enterprise,Director Global IT Enterprise Data Analytics,
"Irving, TX 75063 (Valley Ranch area)","7-Eleven, Inc.",Sr Financial Analyst,
"Dallas, TX 75240 (Far North area)","Amazon Web Services, Inc.",Data & ML Engineer,
"Dallas, TX",SYNITI,Sr. Data Migration Consultant,
"Fort Worth, TX 76116",Cook Children's Health Care System,"Health Plan Data Analyst, Sr",
"Irving, TX",NTT DATA Services,Machine Learning/Data Engineer,
"Fort Worth, TX 76102 (Sunset Terrace area)",GM Financial,Sr Data Analyst,
"Plano, TX 75023",Altice USA,Sr. HR Data Analyst - Strategy and Governance,
"Lewisville, TX","JPMorgan Chase Bank, N.A.",Senior Machine Learning Engineer,
"Irving, TX 75063 (Freeport/Hackberry area)",Humana,"Associate Director, Data Science",
,"YinzCam, Inc.",Senior Data Analyst,
"Coraopolis, PA 15108",DICK'S Sporting Goods,Data Scientist,
"Pittsburgh, PA 15213 (Squirrel Hill North area)",Carnegie Mellon University,Machine Learning Fall Internships,
"Pittsburgh, PA 15207 (Hays area)","Dagostino Electronic Services, Inc.",Chief Data Scientist,
"Kent, OH 44240",Davey Tree,"Data Scientist - Kent, OH",
"Cranberry Township, PA 16066",Westinghouse Electric Company,Data Scientist- Contract Opportunity,
"Pittsburgh, PA",Highmark Health,Data Scientist,
"Pittsburgh, PA 15219 (Middle Hill area)",UPMC,Sr. Data Scientist - Health Economics,$40.27 - $69.53 an hour
"Pittsburgh, PA",The University of Pittsburgh,Data Scientist,
"Pittsburgh, PA 15213 (Squirrel Hill North area)",Carnegie Mellon University,Machine Learning Research Scientist,
"Pittsburgh, PA","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,
"Wexford, PA 15090","Lucas Systems, Inc.",Data Scientist,
"Pittsburgh, PA",International Services Management,Data Scientist,
"Pittsburgh, PA 15213 (North Oakland area)",UPMC,Statistician,$27.98 - $47.14 an hour
"Pittsburgh, PA 15222 (Strip District area)",Bosch Group,Machine Learning Research Scientist,
"Pittsburgh, PA 15201 (Central Lawrenceville area)","CGI Group, Inc.",Data Scientist,
"Pittsburgh, PA 15233 (Allegheny West area)",PNC Financial Services Group,Data Scientist Sr. - Conversation Designer & NLP Analyst,
"Pittsburgh, PA",The University of Pittsburgh,Data Science Programmer,
"Pittsburgh, PA 15222 (Strip District area)",Bosch Group,Research Scientist - Computer Vision and Machine Learning,
"Morgantown, WV",Careers | West Virginia University,Data Scientist Senior - Neuroscience Institute,
"Hiram, OH 44234","Great Lakes Cheese, Inc.",Procurement Analytics Intern,
"Pittsburgh, PA 15203 (Southside Flats area)",Immunetrics,Mathematical Modeler - Quantitative Systems Pharmacology,
"Bridgeport, WV",Noblis,Data Scientist/Data Analytics Practitioner,
"Warrendale, PA 15086",Federated Hermes,IMO Senior Data Analyst,
"Coraopolis, PA 15108",DICK'S Sporting Goods,Machine Learning- Engineer,
,Software Engineering Institute,Machine Learning Research Scientist,
"Pittsburgh, PA",Hyundai-Aptiv Autonomous Driving Joint Venture,Machine Learning Research Scientist - Lidar/Camera/3D,
"Pittsburgh, PA",Duolingo,Head of Data Science,
"Pittsburgh, PA",Facebook,"Research Intern, Artificial Intelligence",
"Pittsburgh, PA",Amazon.com Services LLC,Machine Learning Scientist,
"Pittsburgh, PA",BNY Mellon,Sr. Specialist Reporting Data Analyst -Technology,
"Pittsburgh, PA 15213 (Squirrel Hill North area)",Carnegie Mellon University,Senior Research Scientist-Machine Learning,
"Orrville, OH 44667",The J. M. Smucker Company,"Senior Data Scientist, FP&A",
"Pittsburgh, PA",Argo AI,"Machine Learning Engineer, Prediction",
"Pittsburgh, PA",Facebook,"Research Scientist, Artificial Intelligence - Graphics and Robotics (PhD)",
"Pittsburgh, PA 15213 (Squirrel Hill North area)",Carnegie Mellon University,Machine Learning Engineer,
"Pittsburgh, PA 15206 (Larimer area)",Management Science Associates Inc.,Senior Data Analyst,
"Brilliant, OH",Ohio's Electric Cooperatives,IT Business Analyst Intern,
"Pittsburgh, PA (Larimer area)",Google,"Software Engineer, Machine Learning",
"Pittsburgh, PA 15212 (North Shore area)",F.N.B. Corp.,"Model Reporting and Metrics Specialist - Pittsburgh, PA",
"Pittsburgh, PA 15213 (Bloomfield area)",Qeexo,Machine Learning Research Engineer,
"Pittsburgh, PA",Aurora,Machine Learning Engineer - Motion Simulation,
"Pittsburgh, PA 15201 (Central Lawrenceville area)","CGI Group, Inc.",Big Data Engineer,
"Pittsburgh, PA",TuSimple,C++ Software Engineer - Autonomous Vehicle A.I. Benchmark & Performance (San Diego),
"Pittsburgh, PA 15213 (Squirrel Hill North area)",Carnegie Mellon University,Software Engineer - Machine Learning,
"Pittsburgh, PA",Facebook,"Software Engineer, AI",
,Software Engineering Institute,Senior Research Scientist-Machine Learning,
"Pittsburgh, PA",TuSimple,Deep Learning Software Engineer | Autonomous Vehicle | San Diego,
"Pittsburgh, PA",TuSimple,Deep Learning Research Engineer - Autonomous Vehicles,
"Pittsburgh, PA",Apple,AI/ML - Software Engineer - ML & Platform Technology,
"Pittsburgh, PA",Amazon.com Services LLC,"Applied Scientist, Alexa Speech",
"Fairmont, WV",IBSS,SOC Analyst Internship,
"Clarksburg, WV",Stratagen,Data Science SME,
"Pittsburgh, PA 15222 (Strip District area)",Honeywell,Lead Machine Learning Engineer,
"Pittsburgh, PA",TuSimple,R&D System Engineer - Artificial Intelligence R&D for Autonomous Vehicles,
"Pittsburgh, PA",TuSimple,Staff C++ Engineer in Machine Learning | Autonomous Driving Research Development,
"Pittsburgh, PA",Amazon.com Services LLC,"Sr. Applied Scientist, Alexa Speech",
"Pittsburgh, PA 15222 (Strip District area)",Petuum,Senior Software Engineer - Machine Learning,
"Pittsburgh, PA",TuSimple,Senior C++ Engineer in Machine Learning | Autonomous Driving Research Development,
"Pittsburgh, PA",Amazon.com Services LLC,Software Development Engineer - Alexa AI,
"Pittsburgh, PA",TuSimple,Lead C++ Engineer in Machine Learning | Autonomous Driving Research Development,
"Pittsburgh, PA",Argo AI,"Lead Software Engineer, Big Data, Java/Python, Autonomous Vehicle Data Core",
"Pittsburgh, PA 15222 (Strip District area)",Petuum,Senior Engineering Manager - Machine Learning,
,Soaren Management,Data Scientist,
"Phoenix, AZ","Berkeley Research Group, LLC",Health Analytics Data Scientist,
"Phoenix, AZ 85004 (Central City area)",Scientific Technologies Corporation,Data Scientist / Data Modeler,
"Gilbert, AZ 85296",Town of Gilbert,Economic Development Data Scientist I,"$70,381 - $105,571 a year"
"Phoenix, AZ",Youth Power Technosoft LLC,Data Scientist,$45 - $50 an hour
"Phoenix, AZ",Sciata,Data Scientist,
"Phoenix, AZ",Impetus Technologies,Associate Data Scientist,
"Tempe, AZ",Amazon.com Services LLC,Data Scientist,
"Phoenix, AZ","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,
"Phoenix, AZ 85027",PetSmart,Senior Data Scientist,
"Tempe, AZ 85281",Shutterfly,Sr. Data Scientist II,
"Phoenix, AZ",State of Arizona,Senior Data Analyst,Up to $29.33 an hour
"Scottsdale, AZ",Discount Tire Corporate Careers,Principal Data Scientist,
"Phoenix, AZ",Freestar,Data Scientist,
"Phoenix, AZ",PennyMac,Sr Data Scientist,
"Tempe, AZ 85282 (Cyprus Southwest area)",AWD Industries,Ph.D. Level Mathematician (M/F),"$80,000 a year"
"Phoenix, AZ",USAA,Director Data Scientist - Data Science Hub,
"Tempe, AZ",TransPerfect Translations Inc.,Language Data Analyst - Spanish and English Speakers,
"Scottsdale, AZ 85258 (North Scottsdale area)",AdviNow Medical,NLP Developer,
"Phoenix, AZ",BlueOptima,"Head of Data Science, Americas",
"Scottsdale, AZ 85254 (Paradise Valley area)",Modulus,Machine Learning Expert,
"Scottsdale, AZ 85260 (North Scottsdale area)",Sunwest Bank,Analyst- Summer Internship,
"Tempe, AZ 85281","DriveTime Automotive Group, Inc.",Director of Data Science,
"Scottsdale, AZ",Discount Tire Corporate Careers,Senior Data Analyst,
"Tempe, AZ 85284",Mosaic Financial Associates,Volunteer Summer Project Data Mining Assistant,
,MUFG,Sr Data Analyst,
"Tempe, AZ",Circle K,Sr. Data Scientist (Global Data and Analytics),
"Tempe, AZ 85281",MUFG,Sr Data Analyst,
"Tempe, AZ",Amazon.com Services LLC,Sr Applied Scientist,
"Phoenix, AZ 85018 (Camelback East area)",Intel,AI - Natural Language Processing and Machine Learning Engineer,
"Phoenix, AZ 85014 (Encanto area)",Health Current,Senior Data Analyst,
"Phoenix, AZ 85018 (Camelback East area)",Intel,IOTG HSPE Deep Learning Engineer,
"Phoenix, AZ 85013 (Encanto area)",St Josephs Hospital and Medical Center,Senior AI/Deep Learning Software Engineer,
"Phoenix, AZ",TuSimple,Vehicle Test Engineer - Artificial Intelligence Autonomous Vehicle Company,
"Chandler, AZ",Allstate,"Senior Data Science Consultant (Chandler, AZ)",
"Scottsdale, AZ 85251 (South Scottsdale area)",thredUP Inc,Staff Machine Learning Engineer - Core Algorithms,
"Chandler, AZ",Wells Fargo,Apps Systems Eng 5 - Reporting Data Specialist,
"Phoenix, AZ",Xen.ai,Head of Business Development & Sales - AI & Machine Learning Solutions,
"Phoenix, AZ",Wells Fargo,Senior Machine Learning Engineer - ASE6,
"Chandler, AZ",Wells Fargo,Apps Systems Engineer 5 - Data Reporting Lead,
,Wells Fargo Bank,Apps Systems Engineer 5/ Chabot NLP Engineer,
,Wells Fargo Bank,Apps Systems Engineer 5 - Data Reporting Lead,
"Phoenix, AZ",State of Arizona,ACCOUNTABILITY & STATISTICAL ANALYST SR - DIRECTOR,"$74,000 - $84,000 a year"
"Phoenix, AZ 85013 (Encanto area)",St Josephs Hospital and Medical Center,Postdoctoral Fellow,
"Phoenix, AZ",Technologent,Python/NLP Automation Developer (Operations),
"Phoenix, AZ",Wells Fargo,Analytic Consultant 5 - NLP Specialist,
"Chandler, AZ",Wells Fargo,Apps Systems Engineer 5/ Chabot NLP Engineer,
"Phoenix, AZ",TuSimple,Senior Accountant - Artificial Intelligence Autonomous Vehicle Company - San Diego,
"Alvin, TX","RiceTec, Inc.",Data Scientist - Production Research,
"Houston, TX 77084",Aramco Services Company,Data Scientist (501652),
"Houston, TX 77032 (Iah - Airport Area area)",Halliburton,Data Scientist- Machine Learning Software Engineer,
"Spring, TX 77389",HP,Data Scientist (Sales and Marketing),
"Houston, TX",National Oilwell Varco,Data Scientist,
"Houston, TX 77019 (Neartown - Montrose area)",BDO,Software Developer Intern (Data Analytics Team) - Fall 2020,
"Houston, TX 77077",Techwave Consulting Inc.,Data Scientist,
"Houston, TX",SelectMinds,Data Scientist,
"Galveston, TX 77554",Galveston Islanders,Basketball Analytics Intern,
"Houston, TX","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,
"Houston, TX",Baker Hughes,Sr Staff Data Scientist,
"Houston, TX 77077 (Eldridge - West Oaks area)",Citgo Petroleum Corporation,Performance Management and Information Intern Analyst,
"Houston, TX",aramcoservices,Data Scientist,
"Houston, TX",Kinder Morgan,Pipeline Integrity – Data Scientist,
"Houston, TX",Houston Methodist,Data Engineer (Application Analyst),
"Houston, TX 77001",Cognizant Technology Solutions,"Azure Enigneer (Data Factory, SQL, Cosmos DB)",
"Houston, TX 77030 (Medical Center Area area)",Baylor College of Medicine,Statistician,
"Houston, TX","Amazon Web Services, Inc.",Senior Data Scientist - Nationwide Opportunities,
"Houston, TX 77070",Hewlett Packard Enterprise,"Vice President, Global IT Enterprise Analytics & Data",
"Houston, TX 77010 (Downtown area)",Lyondell Chemical Company,Data Science Manager,
"Houston, TX 77019 (Neartown - Montrose area)",BDO,Data Developer - Machine Learning,
"Houston, TX 77046 (Montrose area)",Invesco,Principal Data Scientist,
"Houston, TX 77002 (Downtown area)",Harris County,Senior Data Analyst,
"Houston, TX 77064",Foxconn,Data Warehouse and Artificial Intelligence Engineer,
"Houston, TX",Tachyus,Software Engineer - Data Integration,
"Houston, TX",Crown Castle,Principal Data Scientist,
"Sugar Land, TX 77478","Accredo Packaging, Inc.",Senior Data Analyst,
"Houston, TX 77002 (Second Ward area)",Honeywell,Advanced AI Engineer,
"Houston, TX",University of Houston,Research Scientist - Data Science (Earth & Atmospheric Sciences),
"Houston, TX",Centene Corporation,Data Analyst III (Healthcare Analytics),
"College Station, TX 77845",StataCorp,Statistician and Software Developer,
"Sugar Land, TX 77478",Texana Center,CCA Behavior Analyst Intern,$15 an hour
"Rosenberg, TX 77471",Texana Center,BeST Behavior Analyst Intern,$15 an hour
"Houston, TX",Xen.ai,Head of Business Development & Sales - AI & Machine Learning Solutions,
"College Station, TX 77845",StataCorp,Senior Statistician and Software Developer,
"Rosenberg, TX 77471",Texana Center,BeST Behavior Analyst Intern PRN,$15 an hour
"Houston, TX",Sense Corp,Senior Data Scientist,
"Houston, TX","Onica, a Rackspace Company",Data Science Architect,
"Houston, TX",Ayata,Senior Data Scientist with Extensive Industrial Experience,
"Houston, TX",Sense Corp,AWS Data Warehouse Architect,
"Houston, TX",Ayata,Senior Research Scientist Specializing in Machine Learning,
"Houston, TX",Sense Corp,Azure Data Warehouse Architect,
"Houston, TX",Ayata,Senior AI/Machine Learning Software Engineer,
"Houston, TX",Ayata,Senior Natural Language Processing Expert,
"Houston, TX",Ayata,Senior Software Developer/Architect for Artificial Intelligence,
"Coral Gables, FL",Quirch Foods,Data Scientist,
"Miami, FL","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,
"Boca Raton, FL",Guardian Eagle,Data Scientist,
"Miami, FL",Mixed In Key,Freelance Data Scientist for an Award-Winning Music Software Company,
"Boca Raton, FL",CIITS,DATA SCIENTIST,
"Miami, FL",Amerant Bank,Business Data Scientist II,
"Boca Raton, FL 33431",ADT Security Services,Marketing Media Data Scientist,
"Fort Lauderdale, FL 33316 (Poinciana Park area)",Chewy,Data Scientist,
"West Palm Beach, FL 33411",Naztec International Group LLC,AI/ML - Machine Learning R&D Scientist,
"Miami, FL",Pandera Systems,Sr. Data Scientist,
