location,company,title,salary
"New York, NY 10011 (Flatiron District area)",Bowery Farming,"Data Scientist, Analytics",
"Manhattan, NY",VISITING NURSE SERVICE OF NEW YORK,Data Scientist Intern,
"New York, NY",The New York Times,Data Scientist,
"New York, NY 10013 (Tribeca area)",1-800-Flowers,Junior Data Scientist,
"New York, NY",Source Enterprises,Data Scientist,
"Brooklyn, NY 11201",Etsy,"Data Scientist, Analytics",
"New York, NY",Pricesenz,Data Scientist,
"New York, NY 10020 (Midtown area)",Yewno,Alternative Data Research Analyst,
"New York, NY",Amazon.com Services LLC,Data Scientist II – Seller Development,
"New York, NY 10012 (Greenwich Village area)",New York University,Programmer/Data Scientist (Researcher),
"Yorktown Heights, NY 10598",IBM,Quantum Data Scientist- Industial Process Sector,
"New York, NY",Altversity,Data Science & Machine Learning Research Intern,
"New York, NY",Facebook,"Data Scientist, Analytics- Instagram-Family Stories",
"New York, NY 10011 (Flatiron District area)",Spotify,"Data Scientist, SoundBetter",
New York State,Urbint,Data Scientist,
"New York, NY",viagogo,Data Scientist,
"New York, NY",Pacific Investment Management Company LLC,Data Science Associate,
"New York, NY",Decode_M,Junior Data Scientist,
"New York, NY 10036 (Garment District area)",Booz Allen Hamilton,Data Scientist,
"New York, NY 10036 (Garment District area)",Ampersand,Data Science Engineer,"$100,000 - $200,000 a year"
"New York, NY 10007 (Tribeca area)",Unite Us,Data Scientist,
"Painted Post, NY 14870",Corning,Statistician & Data Analysis Scientist,
"New York, NY",Amazon.com Services LLC,Sr. Data Scientist,
"New York, NY",Facebook,"Data Scientist, Analytics - Recruiting Products",
"New York, NY",RISIRISA,Data Scientist,
"Melville, NY",Catholic Health Services of Long Island,Data Scientist,
"New York, NY 10003 (Flatiron District area)",Casper,Data Scientist,
"New York, NY 10006 (Financial District area)",Doctors Without Borders | Médecins Sans Frontières,Data Scientist - People Analytics,
"New York, NY 10011 (Flatiron District area)",Spotify,"Data Scientist, Premium Products Discovery",
"New York, NY 10001 (Chelsea area)",Mars,"Data Scientist, Kinship - NYC/Portland",
"Carle Place, NY 11514",1-800-Flowers,Data Scientist,
"Brooklyn, NY 11211",Voice,Data Scientist,
"New York, NY",Noom US,"Data Scientist, Product Analytics",
"New York, NY 10011 (Greenwich Village area)",Tapestry,"Data Scientist, Recommendations",
"New York, NY",TMP Worldwide,Data Science Engineer,
"New York, NY 10016 (Murray Hill area)",AETNA,Senior Data Scientist - 71217BR,
"New York, NY 10011 (Flatiron District area)",Bowery Farming,Senior Data Scientist,
,Catasys,Senior AI Engineer,"$110,000 - $160,000 a year"
,Mphasis,Data Science Specialist USA,
"New York, NY 10012 (Greenwich Village area)",New York University,Programmer/Data Scientist,
"New York, NY",Amazon.com Services LLC,Data Scientist - Forecasting,
"New York, NY",Riskified,Data Scientist - Market and Sales Analytics,
"New York, NY 10036 (Midtown area)","D. E. Shaw & Co., L.P.",People Analytics Data Scientist,
"New York, NY 10016 (Murray Hill area)",AETNA,Data Science Analyst,
"Rochester, NY",L3Harris Technologies,Data Scientist,
"New York, NY 10017 (Midtown area)",Advan Research Corporation,Data Scientist,
"New York, NY",Amazon.com Services LLC,Data Scientist - Demand Forecasting,
"New York, NY 10012 (Greenwich Village area)",New York University,Research Scientist-Center for Data Science,
"New York, NY",PulsePoint,Data Scientist/Machine Learning,
"New York, NY",Schrödinger,Machine Learning Research Engineer,
"New York, NY","Amazon Web Services, Inc.",Data Scientist - Nationwide Opportunities,
"New York, NY",Amazon.com Services LLC,Applied Scientist,
"New York, NY 10007 (Tribeca area)",Flatiron Health,"Data Science Manager, RWE Machine Learning",
"New York, NY 10001 (Flatiron District area)",Noom Inc.,Senior Data Scientist (Remote-friendly),
"New York, NY",Ro,Staff Data Scientist,
"New York, NY 10010 (Gramercy area)",Tempus,Machine Learning Scientist - New York,
"New York, NY",The CARIAN Group,Data Scientist,
"New York, NY 10011 (Flatiron District area)",Spotify,Data Scientist – Machine Learning Platform,
"New York, NY",Microagility,Data Scientist,
,Grow Recruiting,"Sr. Staff Software Engineer (A.I. + Search, JVM/Spring Boot)","$170,000 - $200,000 a year"
,Capital One,"Senior Manager, Data Engineering",
"Yorktown Heights, NY 10598",IBM,Data Scientist- Financial Services Sector Industry,
"New York, NY","Two Sigma Investments, LLC.",Data Scientist - Strategic Data Science,
"New York, NY",Amazon.com Services LLC,"Data Scientist, Advertising",
"New York, NY 10022 (Turtle Bay area)",IFG Companies,Data Scientist,
"Yonkers, NY 10703 (Nepera Park area)",Consumer Reports,Senior Data Scientist,
"New York, NY 10018 (Clinton area)",Uber,2020 PhD Data Scientist Internship - Uber Eats (New York),
"New York, NY",Info Origin Inc,Senior Data Scientist,
"New York, NY",Amazon Advertising LLC,"Data Scientist – Experimentation, Analytics and Insights",
"New York, NY 10018 (Garment District area)",MediaMath,Data Scientist II,
"New York, NY",American Express,"Manager, Data Science",
"Seattle, WA 98134 (Industrial District area)",Starbucks,"data scientist, Operations Analytics -Seattle, WA",
"Seattle, WA",Course5 Intelligence,Data Scientist,
"Seattle, WA",University of Washington,DATA SCIENTIST,
"Redmond, WA",Microsoft,Full Time Opportunities for Students or Recent Graduates: Data & Applied Sciences,
"Seattle, WA 98102 (South Lake Union area)",Adaptive Biotechnologies,Data Scientist,
"Seattle, WA 98101 (Downtown area)",Hiya,Data Scientist,
"Bellevue, WA",T-Mobile,Sr Data Scientist,
"Seattle, WA",Linksbridge,Data Scientist,
"Seattle, WA",Wish,Data Scientist,
"Seattle, WA",Tableau,Senior Data Scientist,
"Seattle, WA 98101 (Downtown area)",Red Violet Inc.,Data Scientist,
"Bellevue, WA 98005 (Wilburton area)",Moxie Software,Data Scientist,
"Bellevue, WA",eBay Inc.,Data Scientist,
"Seattle, WA",University of Washington,SOFTWARE DEVELOPER/DATA SCIENTIST,
"Redmond, WA",Microsoft,Full Time Opportunities for PhD Students or Recent Graduates: Data & Applied Sciences,
"Bellevue, WA 98004 (Downtown area)",Go With Her Enterprises,Data Scientist - Cyber Security - SQL,
"Seattle, WA",Koverse,Data Scientist,
"Seattle, WA 98104 (Pioneer Square area)",Integral Consulting Inc.,Environmental Scientist - Data Analytics/Statistics,
"Seattle, WA",Amazon.com Services LLC,"Data Scientist, Ad Sales Ops",
"Seattle, WA 98121 (Belltown area)",Zulily,"Senior Data Scientist, Machine Learning",
,"IT Partners,Inc",Data Scientist,
